Age,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
35,0.1582,4.3476,0.13583,2.816,3.144,3.35,3.463,3.644,3.771,3.964,4.348,4.762,4.997,5.162,5.415,5.585,5.918,6.527
36,0.1554,4.3818,0.13554,2.842,3.171,3.378,3.492,3.674,3.802,3.996,4.382,4.798,5.035,5.201,5.456,5.626,5.961,6.575
37,0.1526,4.4155,0.13526,2.867,3.198,3.406,3.521,3.704,3.832,4.028,4.416,4.834,5.072,5.239,5.495,5.667,6.004,6.621
38,0.1499,4.449,0.13498,2.892,3.225,3.434,3.55,3.734,3.862,4.059,4.449,4.87,5.11,5.278,5.535,5.708,6.047,6.668
39,0.1473,4.482,0.1347,2.917,3.252,3.462,3.578,3.763,3.892,4.09,4.482,4.905,5.146,5.315,5.574,5.748,6.089,6.713
40,0.1446,4.5148,0.13444,2.941,3.278,3.49,3.606,3.792,3.922,4.121,4.515,4.94,5.183,5.352,5.613,5.788,6.13,6.759
41,0.142,4.5472,0.13418,2.966,3.304,3.517,3.634,3.821,3.951,4.151,4.547,4.975,5.219,5.389,5.651,5.827,6.171,6.803
42,0.1395,4.5793,0.13392,2.99,3.33,3.544,3.661,3.849,3.98,4.181,4.579,5.009,5.254,5.426,5.689,5.866,6.212,6.848
43,0.1369,4.611,0.13367,3.014,3.356,3.57,3.688,3.877,4.009,4.211,4.611,5.043,5.289,5.462,5.726,5.904,6.252,6.891
44,0.1344,4.6425,0.13342,3.038,3.381,3.597,3.715,3.905,4.038,4.241,4.643,5.077,5.324,5.498,5.763,5.942,6.292,6.935
45,0.132,4.6736,0.13318,3.061,3.406,3.623,3.742,3.933,4.066,4.27,4.674,5.11,5.359,5.533,5.8,5.98,6.332,6.978
46,0.1295,4.7044,0.13295,3.084,3.431,3.648,3.768,3.96,4.094,4.299,4.704,5.143,5.393,5.568,5.837,6.017,6.371,7.02
47,0.1271,4.7349,0.13272,3.107,3.456,3.674,3.795,3.987,4.121,4.327,4.735,5.176,5.427,5.603,5.873,6.054,6.41,7.062
48,0.1247,4.7651,0.1325,3.13,3.48,3.699,3.82,4.014,4.149,4.356,4.765,5.208,5.46,5.637,5.908,6.09,6.448,7.104
49,0.1224,4.795,0.13228,3.153,3.504,3.724,3.846,4.04,4.176,4.384,4.795,5.24,5.493,5.671,5.944,6.127,6.486,7.145
50,0.12,4.8245,0.13206,3.175,3.528,3.749,3.871,4.066,4.203,4.411,4.825,5.271,5.526,5.704,5.978,6.162,6.523,7.186
51,0.1177,4.8538,0.13185,3.197,3.551,3.774,3.896,4.092,4.229,4.439,4.854,5.303,5.559,5.738,6.013,6.198,6.561,7.226
52,0.1154,4.8828,0.13165,3.219,3.575,3.798,3.921,4.118,4.255,4.466,4.883,5.334,5.591,5.771,6.047,6.233,6.598,7.267
53,0.1132,4.9115,0.13145,3.241,3.598,3.822,3.946,4.143,4.281,4.493,4.912,5.364,5.623,5.803,6.081,6.268,6.634,7.306
54,0.1109,4.9399,0.13125,3.262,3.621,3.846,3.97,4.168,4.307,4.519,4.94,5.395,5.654,5.836,6.115,6.302,6.67,7.345
55,0.1087,4.968,0.13106,3.283,3.644,3.87,3.994,4.193,4.333,4.546,4.968,5.425,5.685,5.868,6.148,6.336,6.706,7.384
56,0.1065,4.9959,0.13087,3.304,3.666,3.893,4.018,4.218,4.358,4.572,4.996,5.455,5.716,5.899,6.181,6.37,6.741,7.423
57,0.1044,5.0235,0.13068,3.325,3.688,3.916,4.042,4.243,4.383,4.598,5.024,5.484,5.747,5.931,6.213,6.403,6.776,7.461
58,0.1022,5.0509,0.1305,3.346,3.711,3.939,4.065,4.267,4.408,4.623,5.051,5.513,5.777,5.962,6.246,6.436,6.811,7.499
59,0.1001,5.078,0.13033,3.366,3.732,3.962,4.089,4.291,4.432,4.649,5.078,5.542,5.807,5.993,6.278,6.469,6.846,7.537
60,0.098,5.1049,0.13015,3.387,3.754,3.985,4.112,4.315,4.457,4.674,5.105,5.571,5.837,6.023,6.31,6.502,6.88,7.574
61,0.0959,5.1315,0.12998,3.407,3.776,4.007,4.135,4.338,4.481,4.699,5.132,5.6,5.866,6.054,6.341,6.534,6.913,7.61
62,0.0938,5.158,0.12982,3.427,3.797,4.029,4.157,4.362,4.505,4.724,5.158,5.628,5.896,6.084,6.372,6.566,6.947,7.647
63,0.0918,5.1842,0.12966,3.447,3.818,4.051,4.18,4.385,4.529,4.748,5.184,5.656,5.925,6.114,6.403,6.598,6.981,7.684
64,0.0897,5.2102,0.1295,3.466,3.839,4.073,4.202,4.408,4.552,4.773,5.21,5.684,5.954,6.143,6.434,6.63,7.014,7.72
65,0.0877,5.236,0.12934,3.486,3.86,4.095,4.224,4.431,4.575,4.797,5.236,5.711,5.982,6.173,6.465,6.661,7.047,7.756
66,0.0857,5.2616,0.12919,3.505,3.88,4.116,4.246,4.453,4.599,4.821,5.262,5.739,6.011,6.202,6.495,6.692,7.079,7.791
67,0.0838,5.287,0.12904,3.524,3.901,4.137,4.268,4.476,4.622,4.845,5.287,5.766,6.039,6.231,6.525,6.723,7.112,7.826
68,0.0818,5.3121,0.12889,3.543,3.921,4.158,4.289,4.498,4.644,4.868,5.312,5.793,6.067,6.259,6.555,6.753,7.144,7.861
69,0.0798,5.337,0.12875,3.562,3.941,4.179,4.311,4.52,4.667,4.892,5.337,5.819,6.095,6.288,6.584,6.784,7.175,7.896
70,0.0779,5.3618,0.12861,3.581,3.961,4.2,4.332,4.542,4.689,4.915,5.362,5.846,6.122,6.316,6.614,6.814,7.207,7.93
71,0.076,5.3863,0.12847,3.599,3.981,4.221,4.353,4.564,4.712,4.938,5.386,5.872,6.149,6.344,6.643,6.843,7.238,7.964
72,0.0741,5.4107,0.12834,3.618,4.001,4.241,4.374,4.585,4.734,4.961,5.411,5.898,6.176,6.372,6.672,6.873,7.269,7.999
73,0.0722,5.4348,0.12821,3.636,4.02,4.261,4.394,4.607,4.755,4.983,5.435,5.924,6.203,6.399,6.7,6.903,7.3,8.032
74,0.0704,5.4587,0.12808,3.654,4.039,4.281,4.415,4.628,4.777,5.006,5.459,5.95,6.23,6.426,6.728,6.932,7.331,8.065
75,0.0685,5.4825,0.12795,3.672,4.059,4.301,4.435,4.649,4.799,5.028,5.483,5.975,6.256,6.453,6.757,6.96,7.361,8.099
76,0.0667,5.5061,0.12783,3.69,4.078,4.321,4.455,4.67,4.82,5.05,5.506,6,6.282,6.48,6.785,6.989,7.391,8.132
77,0.0648,5.5295,0.1277,3.707,4.096,4.341,4.475,4.691,4.841,5.072,5.53,6.025,6.308,6.507,6.812,7.018,7.421,8.164
78,0.063,5.5527,0.12758,3.725,4.115,4.36,4.495,4.711,4.862,5.094,5.553,6.05,6.334,6.534,6.84,7.046,7.451,8.197
79,0.0612,5.5757,0.12747,3.742,4.134,4.379,4.515,4.731,4.883,5.115,5.576,6.075,6.36,6.56,6.867,7.074,7.48,8.229
80,0.0595,5.5986,0.12735,3.76,4.152,4.399,4.535,4.752,4.904,5.137,5.599,6.099,6.385,6.586,6.894,7.102,7.51,8.261
81,0.0577,5.6213,0.12724,3.777,4.17,4.418,4.554,4.772,4.924,5.158,5.621,6.124,6.411,6.612,6.921,7.129,7.539,8.293
82,0.0559,5.6438,0.12713,3.794,4.188,4.436,4.573,4.792,4.945,5.179,5.644,6.148,6.436,6.638,6.948,7.157,7.568,8.324
83,0.0542,5.6662,0.12702,3.811,4.207,4.455,4.592,4.812,4.965,5.2,5.666,6.172,6.46,6.663,6.975,7.184,7.596,8.356
84,0.0525,5.6883,0.12691,3.827,4.224,4.474,4.611,4.831,4.985,5.221,5.688,6.195,6.485,6.688,7.001,7.211,7.625,8.386
85,0.0508,5.7104,0.12681,3.844,4.242,4.492,4.63,4.851,5.005,5.241,5.71,6.219,6.51,6.714,7.027,7.238,7.653,8.417
86,0.049,5.7322,0.12671,3.86,4.26,4.51,4.649,4.87,5.025,5.262,5.732,6.243,6.534,6.739,7.053,7.265,7.681,8.448
87,0.0474,5.7539,0.1266,3.877,4.277,4.529,4.667,4.889,5.044,5.282,5.754,6.266,6.558,6.763,7.079,7.291,7.709,8.478
88,0.0457,5.7755,0.12651,3.893,4.294,4.547,4.686,4.908,5.064,5.302,5.776,6.289,6.582,6.788,7.105,7.318,7.737,8.509
89,0.044,5.7969,0.12641,3.909,4.312,4.565,4.704,4.927,5.083,5.322,5.797,6.312,6.606,6.812,7.13,7.344,7.764,8.539
90,0.0424,5.8181,0.12631,3.925,4.329,4.582,4.722,4.946,5.102,5.342,5.818,6.335,6.629,6.837,7.155,7.369,7.791,8.569
91,0.0407,5.8393,0.12622,3.941,4.346,4.6,4.74,4.965,5.121,5.362,5.839,6.357,6.653,6.861,7.18,7.395,7.819,8.599
92,0.0391,5.8602,0.12613,3.957,4.363,4.617,4.758,4.983,5.14,5.382,5.86,6.38,6.676,6.885,7.205,7.421,7.845,8.628
93,0.0375,5.881,0.12604,3.972,4.379,4.635,4.776,5.001,5.159,5.401,5.881,6.402,6.7,6.909,7.23,7.446,7.872,8.657
94,0.0358,5.9017,0.12595,3.988,4.396,4.652,4.794,5.02,5.178,5.42,5.902,6.424,6.723,6.932,7.255,7.472,7.899,8.686
95,0.0342,5.9223,0.12586,4.004,4.413,4.669,4.811,5.038,5.197,5.44,5.922,6.446,6.746,6.956,7.279,7.497,7.925,8.715
96,0.0327,5.9427,0.12577,4.019,4.429,4.687,4.829,5.056,5.215,5.459,5.943,6.468,6.768,6.979,7.303,7.522,7.951,8.744
97,0.0311,5.9629,0.12569,4.034,4.445,4.703,4.846,5.074,5.233,5.478,5.963,6.49,6.791,7.002,7.328,7.547,7.978,8.773
98,0.0295,5.9831,0.12561,4.049,4.461,4.72,4.863,5.092,5.251,5.496,5.983,6.511,6.813,7.025,7.352,7.571,8.004,8.801
99,0.0279,6.0031,0.12553,4.064,4.477,4.737,4.88,5.109,5.27,5.515,6.003,6.533,6.836,7.048,7.375,7.596,8.029,8.83
100,0.0264,6.0229,0.12545,4.079,4.493,4.754,4.897,5.127,5.287,5.534,6.023,6.554,6.858,7.071,7.399,7.62,8.055,8.858
101,0.0249,6.0426,0.12537,4.094,4.509,4.77,4.914,5.144,5.305,5.552,6.043,6.575,6.88,7.094,7.423,7.644,8.08,8.885
102,0.0233,6.0622,0.12529,4.109,4.525,4.786,4.931,5.161,5.323,5.57,6.062,6.596,6.901,7.116,7.446,7.668,8.106,8.913
103,0.0218,6.0817,0.12522,4.123,4.541,4.803,4.947,5.179,5.34,5.589,6.082,6.617,6.923,7.138,7.469,7.692,8.131,8.941
104,0.0203,6.101,0.12514,4.138,4.556,4.819,4.964,5.196,5.358,5.607,6.101,6.638,6.945,7.16,7.492,7.716,8.156,8.968
105,0.0188,6.1202,0.12507,4.152,4.571,4.835,4.98,5.213,5.375,5.625,6.12,6.658,6.966,7.182,7.515,7.739,8.181,8.995
106,0.0173,6.1393,0.125,4.167,4.587,4.851,4.996,5.229,5.393,5.643,6.139,6.679,6.987,7.204,7.538,7.763,8.205,9.022
107,0.0158,6.1582,0.12493,4.181,4.602,4.867,5.013,5.246,5.41,5.66,6.158,6.699,7.009,7.226,7.561,7.786,8.23,9.049
108,0.0144,6.1771,0.12486,4.195,4.617,4.882,5.029,5.263,5.427,5.678,6.177,6.72,7.03,7.248,7.583,7.809,8.254,9.076
109,0.0129,6.1958,0.12479,4.209,4.632,4.898,5.045,5.279,5.444,5.695,6.196,6.74,7.051,7.269,7.605,7.832,8.278,9.102
110,0.0114,6.2143,0.12472,4.223,4.647,4.913,5.061,5.296,5.46,5.713,6.214,6.759,7.071,7.29,7.627,7.855,8.302,9.129
111,0.01,6.2328,0.12466,4.237,4.662,4.929,5.076,5.312,5.477,5.73,6.233,6.779,7.092,7.312,7.65,7.878,8.326,9.155
112,0.0086,6.2511,0.12459,4.251,4.677,4.944,5.092,5.328,5.493,5.747,6.251,6.799,7.112,7.332,7.671,7.9,8.35,9.181
113,0.0071,6.2693,0.12453,4.264,4.691,4.959,5.107,5.344,5.51,5.764,6.269,6.818,7.133,7.353,7.693,7.922,8.373,9.207
114,0.0057,6.2874,0.12447,4.278,4.706,4.974,5.123,5.36,5.526,5.781,6.287,6.838,7.153,7.374,7.715,7.945,8.397,9.233
115,0.0043,6.3054,0.12441,4.291,4.72,4.989,5.138,5.376,5.542,5.798,6.305,6.857,7.173,7.395,7.737,7.967,8.42,9.259
116,0.0029,6.3232,0.12435,4.305,4.734,5.004,5.153,5.392,5.558,5.814,6.323,6.876,7.193,7.415,7.758,7.989,8.443,9.284
117,0.0015,6.341,0.12429,4.318,4.749,5.019,5.168,5.407,5.575,5.831,6.341,6.895,7.213,7.436,7.779,8.011,8.466,9.309
118,0.0001,6.3586,0.12423,4.331,4.763,5.034,5.183,5.423,5.59,5.848,6.359,6.914,7.232,7.456,7.8,8.032,8.489,9.334
119,-0.0013,6.3761,0.12417,4.345,4.777,5.048,5.198,5.438,5.606,5.864,6.376,6.933,7.252,7.476,7.821,8.054,8.512,9.359
120,-0.0026,6.3935,0.12412,4.358,4.791,5.063,5.213,5.453,5.622,5.88,6.394,6.952,7.271,7.496,7.842,8.075,8.535,9.384
121,-0.004,6.4108,0.12406,4.371,4.804,5.077,5.228,5.469,5.637,5.896,6.411,6.97,7.291,7.516,7.863,8.096,8.557,9.409
122,-0.0053,6.428,0.12401,4.383,4.818,5.091,5.242,5.484,5.653,5.912,6.428,6.989,7.31,7.536,7.883,8.118,8.579,9.434
123,-0.0067,6.445,0.12395,4.396,4.832,5.106,5.257,5.499,5.668,5.928,6.445,7.007,7.329,7.555,7.904,8.139,8.601,9.458
124,-0.008,6.462,0.1239,4.409,4.845,5.12,5.271,5.514,5.684,5.944,6.462,7.025,7.348,7.575,7.924,8.16,8.624,9.482
125,-0.0094,6.4788,0.12385,4.422,4.859,5.134,5.286,5.529,5.699,5.96,6.479,7.043,7.367,7.594,7.944,8.18,8.646,9.506
126,-0.0107,6.4956,0.1238,4.434,4.872,5.148,5.3,5.543,5.714,5.975,6.496,7.062,7.386,7.613,7.964,8.201,8.667,9.53
127,-0.012,6.5122,0.12375,4.447,4.886,5.162,5.314,5.558,5.729,5.991,6.512,7.079,7.404,7.633,7.984,8.221,8.689,9.554
128,-0.0133,6.5288,0.1237,4.459,4.899,5.175,5.328,5.573,5.744,6.006,6.529,7.097,7.423,7.652,8.004,8.242,8.711,9.578
129,-0.0146,6.5452,0.12365,4.471,4.912,5.189,5.342,5.587,5.759,6.022,6.545,7.115,7.441,7.67,8.024,8.262,8.732,9.601
130,-0.0159,6.5615,0.1236,4.484,4.925,5.203,5.356,5.601,5.773,6.037,6.562,7.132,7.459,7.689,8.043,8.282,8.753,9.625
131,-0.0172,6.5777,0.12355,4.496,4.938,5.216,5.37,5.616,5.788,6.052,6.578,7.15,7.477,7.708,8.063,8.302,8.774,9.648
132,-0.0185,6.5939,0.12351,4.508,4.951,5.23,5.384,5.63,5.802,6.067,6.594,7.167,7.496,7.727,8.082,8.322,8.795,9.671
133,-0.0198,6.6099,0.12346,4.52,4.964,5.243,5.397,5.644,5.817,6.082,6.61,7.184,7.513,7.745,8.102,8.342,8.816,9.694
134,-0.021,6.6258,0.12342,4.532,4.976,5.256,5.411,5.658,5.831,6.097,6.626,7.202,7.531,7.763,8.121,8.362,8.837,9.717
135,-0.0223,6.6416,0.12337,4.544,4.989,5.269,5.424,5.672,5.845,6.112,6.642,7.218,7.549,7.781,8.14,8.381,8.858,9.74
136,-0.0235,6.6573,0.12333,4.555,5.002,5.282,5.438,5.686,5.86,6.126,6.657,7.235,7.566,7.8,8.158,8.401,8.878,9.763
137,-0.0248,6.6729,0.12329,4.567,5.014,5.295,5.451,5.699,5.874,6.141,6.673,7.252,7.584,7.818,8.177,8.42,8.899,9.785
138,-0.026,6.6884,0.12325,4.579,5.026,5.308,5.464,5.713,5.888,6.155,6.688,7.269,7.601,7.835,8.196,8.439,8.919,9.807
139,-0.0273,6.7039,0.12321,4.59,5.039,5.321,5.477,5.727,5.902,6.17,6.704,7.286,7.619,7.853,8.215,8.458,8.939,9.83
140,-0.0285,6.7192,0.12317,4.602,5.051,5.334,5.49,5.74,5.915,6.184,6.719,7.302,7.636,7.871,8.233,8.477,8.959,9.852
141,-0.0297,6.7344,0.12313,4.613,5.063,5.346,5.503,5.753,5.929,6.198,6.734,7.318,7.653,7.888,8.251,8.496,8.979,9.874
142,-0.0309,6.7495,0.12309,4.624,5.075,5.359,5.516,5.767,5.943,6.212,6.75,7.335,7.67,7.906,8.269,8.515,8.999,9.896
143,-0.0321,6.7646,0.12305,4.636,5.087,5.372,5.529,5.78,5.956,6.227,6.765,7.351,7.687,7.923,8.288,8.533,9.019,9.917
144,-0.0333,6.7795,0.12301,4.647,5.099,5.384,5.541,5.793,5.97,6.24,6.78,7.367,7.703,7.94,8.306,8.552,9.038,9.939
145,-0.0345,6.7944,0.12298,4.658,5.111,5.396,5.554,5.806,5.983,6.254,6.794,7.383,7.72,7.958,8.324,8.571,9.058,9.961
146,-0.0357,6.8091,0.12294,4.669,5.123,5.409,5.567,5.819,5.996,6.268,6.809,7.399,7.737,7.975,8.341,8.589,9.077,9.982
147,-0.0369,6.8238,0.12291,4.68,5.135,5.421,5.579,5.832,6.009,6.282,6.824,7.415,7.753,7.992,8.359,8.607,9.096,10.003
148,-0.0381,6.8384,0.12287,4.691,5.146,5.433,5.591,5.845,6.023,6.295,6.838,7.43,7.77,8.008,8.377,8.625,9.115,10.024
149,-0.0393,6.8529,0.12284,4.701,5.158,5.445,5.604,5.858,6.036,6.309,6.853,7.446,7.786,8.025,8.394,8.643,9.134,10.046
150,-0.0404,6.8673,0.12281,4.712,5.169,5.457,5.616,5.87,6.049,6.322,6.867,7.461,7.802,8.042,8.412,8.661,9.153,10.067
151,-0.0416,6.8816,0.12277,4.723,5.181,5.469,5.628,5.883,6.061,6.336,6.882,7.477,7.818,8.058,8.429,8.679,9.172,10.087
152,-0.0428,6.8959,0.12274,4.734,5.192,5.481,5.64,5.895,6.074,6.349,6.896,7.492,7.834,8.075,8.446,8.697,9.191,10.108
153,-0.0439,6.91,0.12271,4.744,5.203,5.492,5.652,5.908,6.087,6.362,6.91,7.507,7.85,8.091,8.463,8.714,9.21,10.129
154,-0.045,6.9241,0.12268,4.755,5.214,5.504,5.664,5.92,6.1,6.375,6.924,7.523,7.866,8.107,8.48,8.732,9.228,10.149
155,-0.0462,6.9381,0.12265,4.765,5.226,5.516,5.676,5.932,6.112,6.388,6.938,7.538,7.882,8.124,8.497,8.749,9.247,10.17
156,-0.0473,6.952,0.12262,4.775,5.237,5.527,5.688,5.945,6.125,6.401,6.952,7.553,7.897,8.14,8.514,8.766,9.265,10.19
157,-0.0484,6.9659,0.12259,4.786,5.248,5.539,5.699,5.957,6.137,6.414,6.966,7.568,7.913,8.156,8.531,8.784,9.283,10.21
158,-0.0496,6.9797,0.12256,4.796,5.259,5.55,5.711,5.969,6.15,6.427,6.98,7.582,7.928,8.172,8.547,8.801,9.301,10.23
159,-0.0507,6.9934,0.12254,4.806,5.27,5.561,5.723,5.981,6.162,6.44,6.993,7.597,7.944,8.188,8.564,8.818,9.32,10.25
160,-0.0518,7.007,0.12251,4.816,5.28,5.573,5.734,5.993,6.174,6.452,7.007,7.612,7.959,8.203,8.58,8.835,9.337,10.27
161,-0.0529,7.0205,0.12248,4.826,5.291,5.584,5.746,6.005,6.186,6.465,7.021,7.626,7.974,8.219,8.597,8.852,9.355,10.29
162,-0.054,7.034,0.12246,4.836,5.302,5.595,5.757,6.016,6.198,6.478,7.034,7.641,7.989,8.235,8.613,8.869,9.373,10.31
163,-0.0551,7.0474,0.12243,4.846,5.312,5.606,5.768,6.028,6.21,6.49,7.047,7.656,8.004,8.25,8.629,8.885,9.391,10.329
164,-0.0562,7.0607,0.12241,4.856,5.323,5.617,5.78,6.04,6.222,6.502,7.061,7.67,8.019,8.266,8.645,8.902,9.409,10.349
165,-0.0573,7.074,0.12238,4.866,5.334,5.628,5.791,6.051,6.234,6.515,7.074,7.684,8.034,8.281,8.662,8.919,9.426,10.368
166,-0.0583,7.0872,0.12236,4.876,5.344,5.639,5.802,6.063,6.246,6.527,7.087,7.698,8.049,8.296,8.678,8.935,9.444,10.388
167,-0.0594,7.1003,0.12234,4.885,5.354,5.65,5.813,6.074,6.258,6.539,7.1,7.713,8.064,8.312,8.694,8.951,9.461,10.407
168,-0.0605,7.1133,0.12231,4.895,5.365,5.661,5.824,6.086,6.269,6.551,7.113,7.727,8.079,8.327,8.709,8.968,9.478,10.426
169,-0.0615,7.1263,0.12229,4.905,5.375,5.671,5.835,6.097,6.281,6.563,7.126,7.741,8.093,8.342,8.725,8.984,9.495,10.445
170,-0.0626,7.1393,0.12227,4.914,5.385,5.682,5.846,6.109,6.293,6.576,7.139,7.755,8.108,8.357,8.741,9,9.513,10.465
171,-0.0637,7.1521,0.12225,4.924,5.395,5.692,5.857,6.12,6.304,6.587,7.152,7.769,8.122,8.372,8.756,9.016,9.53,10.484
172,-0.0647,7.1649,0.12223,4.933,5.406,5.703,5.868,6.131,6.316,6.599,7.165,7.782,8.137,8.387,8.772,9.032,9.547,10.502
173,-0.0658,7.1776,0.12221,4.943,5.416,5.714,5.878,6.142,6.327,6.611,7.178,7.796,8.151,8.401,8.787,9.048,9.564,10.521
174,-0.0668,7.1903,0.12219,4.952,5.426,5.724,5.889,6.153,6.338,6.623,7.19,7.81,8.165,8.416,8.803,9.064,9.58,10.54
175,-0.0678,7.2029,0.12217,4.961,5.436,5.734,5.9,6.164,6.35,6.635,7.203,7.823,8.18,8.431,8.818,9.08,9.597,10.559
176,-0.0689,7.2154,0.12215,4.971,5.446,5.745,5.91,6.175,6.361,6.646,7.215,7.837,8.194,8.445,8.833,9.096,9.614,10.577
177,-0.0699,7.2279,0.12214,4.98,5.455,5.755,5.921,6.186,6.372,6.658,7.228,7.85,8.208,8.46,8.849,9.111,9.631,10.596
178,-0.0709,7.2403,0.12212,4.989,5.465,5.765,5.931,6.197,6.383,6.669,7.24,7.864,8.222,8.474,8.864,9.127,9.647,10.614
179,-0.0719,7.2527,0.1221,4.998,5.475,5.775,5.942,6.208,6.394,6.681,7.253,7.877,8.236,8.489,8.879,9.143,9.664,10.632
